url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,comments_not_bot,comment_prepro,negativeComment,neutralComment,positiveComment,compoundComment,,,compound_overall
https://api.github.com/repos/XINO-DPSR/open-source-marathon/pulls/97,3,2019-07-17T16:24:05Z,2019-07-18T10:11:23Z,64038,,4,832,265,29,0,0,1,"Missing Docstring :)

",missing docstring,0.688,0.312,0,-0.296,,,
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/36,0,2019-01-25T19:07:49Z,2019-06-19T07:07:48Z,12484799,,1,36,15,1,0,0,1,"Missing space after if

Missing space after foreach

",missing space missing space foreach,0.595,0.405,0,-0.5267,,,
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/36,0,2019-01-25T19:07:49Z,2019-06-19T07:07:48Z,12484799,,1,36,15,1,0,0,1,"Missing space after if

Missing space after foreach

",missing space missing space foreach,0.595,0.405,0,-0.5267,,,
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/36,0,2019-01-25T19:07:49Z,2019-06-19T07:07:48Z,12484799,,1,36,15,1,0,0,1,"Missing space after if

Missing space after foreach

",missing space missing space foreach,0.595,0.405,0,-0.5267,,,
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/36,0,2019-01-25T19:07:49Z,2019-06-19T07:07:48Z,12484799,,1,36,15,1,0,0,1,"Missing space after if

Missing space after foreach

",missing space missing space foreach,0.595,0.405,0,-0.5267,,,
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/36,0,2019-01-25T19:07:49Z,2019-06-19T07:07:48Z,12484799,,1,36,15,1,0,0,1,"Missing space after if

Missing space after foreach

",missing space missing space foreach,0.595,0.405,0,-0.5267,,,
https://api.github.com/repos/wazuh/wazuh/pulls/16214,1,2023-02-15T14:14:48Z,2023-02-23T17:21:27Z,702399,,2,1,0,1,0,0,1,"I think this call has no effect.

Done https://github.com/wazuh/wazuh/pull/16214/commits/5f73c4022232e6d509b9083abd933589876298fe and tested again:

```
==7759== LEAK SUMMARY:
==7759==    definitely lost: 0 bytes in 0 blocks
==7759==    indirectly lost: 0 bytes in 0 blocks
==7759==      possibly lost: 6,336 bytes in 22 blocks
==7759==    still reachable: 23,628,990 bytes in 128,082 blocks
==7759==         suppressed: 0 bytes in 0 blocks
==7759== Reachable blocks (those to which a pointer was found) are not shown.
==7759== To see them, rerun with: --leak-check=full --show-leak-kinds=all
```


",think call effect done tested leak summary definitely lost byte block indirectly lost byte block possibly lost byte block still reachable byte block suppressed byte block reachable block pointer found shown see rerun leakcheckfull showleakkindsall,0.5,0.449,0.051,-0.9682,,,
https://api.github.com/repos/wazuh/wazuh/pulls/16214,1,2023-02-15T14:14:48Z,2023-02-23T17:21:27Z,702399,,2,1,0,1,0,0,1,"I think this call has no effect.

Done https://github.com/wazuh/wazuh/pull/16214/commits/5f73c4022232e6d509b9083abd933589876298fe and tested again:

```
==7759== LEAK SUMMARY:
==7759==    definitely lost: 0 bytes in 0 blocks
==7759==    indirectly lost: 0 bytes in 0 blocks
==7759==      possibly lost: 6,336 bytes in 22 blocks
==7759==    still reachable: 23,628,990 bytes in 128,082 blocks
==7759==         suppressed: 0 bytes in 0 blocks
==7759== Reachable blocks (those to which a pointer was found) are not shown.
==7759== To see them, rerun with: --leak-check=full --show-leak-kinds=all
```


",think call effect done tested leak summary definitely lost byte block indirectly lost byte block possibly lost byte block still reachable byte block suppressed byte block reachable block pointer found shown see rerun leakcheckfull showleakkindsall,0.5,0.449,0.051,-0.9682,,,
https://api.github.com/repos/jazzband/django-analytical/pulls/223,4,2022-09-14T18:23:43Z,2022-09-26T14:19:26Z,1022143,,5,196,0,3,0,0,1,"I believe, there should be an empty line to separate the code block from this text block.

```suggestion
logo - where the design and content of the page allows. ::
```

",believe empty line separate code block text block suggestion logo design content page allows,0.409,0.591,0,-0.765,,,
https://api.github.com/repos/algolia/autocomplete/pulls/901,3,2022-02-21T08:10:08Z,2022-04-27T13:28:12Z,5635084,,1,1,1,1,0,0,1,"https://github.com/github/combobox-nav/blob/main/src/index.ts#L101 we may need to ignore everything when composing

",may need ignore everything composing,0.385,0.615,0,-0.3612,,,
https://api.github.com/repos/wazuh/wazuh/pulls/16286,1,2023-02-24T21:00:03Z,2023-03-01T13:09:42Z,403779,,2,64,25,13,0,0,1,"we can move this to the first check, right?

No, because if it fails, all the decoders inherited from this one will be ignored and that is not the expected behavior.

",move first check right fails decoder inherited one ignored expected behavior,0.362,0.638,0,-0.6249,,,
https://api.github.com/repos/wazuh/wazuh/pulls/16286,1,2023-02-24T21:00:03Z,2023-03-01T13:09:42Z,403779,,2,64,25,13,0,0,1,"we can move this to the first check, right?

No, because if it fails, all the decoders inherited from this one will be ignored and that is not the expected behavior.

",move first check right fails decoder inherited one ignored expected behavior,0.362,0.638,0,-0.6249,,,
https://api.github.com/repos/brianc/node-postgres/pulls/2741,4,2022-05-03T17:48:57Z,2022-10-24T08:55:21Z,15001584,,1,43,3,2,0,0,1,"This probably needs to handle rejections.

Yep, fixed!

",probably need handle rejection yep fixed,0.361,0.412,0.227,-0.3182,,,
https://api.github.com/repos/CircuitVerse/CircuitVerse/pulls/3626,1,2023-02-28T06:56:21Z,2023-02-28T07:22:05Z,1544,,1,6612,94,13,0,0,1,"Missing a trailing newline at the end of the file.

",missing trailing newline end file,0.355,0.645,0,-0.296,,,
https://api.github.com/repos/keycloak/keycloak/pulls/17113,0,2023-02-15T09:57:30Z,2023-02-17T06:04:23Z,158813,,1,7,2,2,0,0,1,"No need to test both 17 and 19 on Windows. This should exclude 19 on Windows:

```suggestion
        version: [17, 19]
        exclude:
          - os: windows-latest
            version: 19
```

",need test window exclude window suggestion version exclude o windowslatest version,0.322,0.678,0,-0.4215,,,
https://api.github.com/repos/galaxyproject/galaxy/pulls/15593,0,2023-02-16T11:38:52Z,2023-02-28T02:41:02Z,1004530,,1,8,0,1,0,0,1,"Well, that's unfortunate:
```json
  {
    ""level"": ""SEVERE"",
    ""message"": ""webpack-internal:///79666 19767:35 Uncaught TypeError: event.dataTransfer.setDragImage is not a function"",
    ""source"": ""javascript"",
    ""timestamp"": 1676550129527
  },
```

",well unfortunate json level severe message webpackinternal uncaught typeerror function source javascript timestamp,0.316,0.565,0.119,-0.5423,,,
https://api.github.com/repos/gitpod-io/retired-gatsby-website/pulls/707,1,2020-08-04T04:34:14Z,2021-02-17T06:03:46Z,17026172,,5,8586,7991,197,0,0,1,"Unnecessary extra empty line.

```suggestion
```

",unnecessary extra empty line suggestion,0.31,0.69,0,-0.2023,,,
https://api.github.com/repos/michalwski/MongooseIM/pulls/69,0,2016-12-08T14:06:30Z,2018-05-08T10:15:24Z,44568534,,4,24,12,3,0,0,1,"According to **Elvis**:
> Missing space right "","" on line 358

According to **Elvis**:
> Missing space right "","" on line 358

",according elvis missing space right line according elvis missing space right line,0.306,0.694,0,-0.5267,,,
https://api.github.com/repos/wp-media/wp-rocket/pulls/5770,0,2023-02-17T13:45:52Z,2023-02-20T13:47:21Z,259289,,3,2,0,2,0,0,1,"@jeawhanlee why did you used `$this->createMock` instead of Mockery?
I started using `$this->createMock` as last option to fix an issue with Query classes. Otherwise by convention we use Mockery as mocking library.

I was having issues mocking methods in the `queue` class, so using `$this->createMock` solved the issue.

",used createmock instead mockery started using createmock last option fix issue query class otherwise convention use mockery mocking library issue mocking method queue class using createmock solved issue,0.285,0.655,0.06,-0.7845,,,
https://api.github.com/repos/matrix-org/matrix-spec-proposals/pulls/3932,0,2022-11-15T22:53:56Z,2023-02-28T22:23:26Z,9070170,,2,50,0,1,0,0,1,"Per https://github.com/matrix-org/matrix-spec-proposals/pull/3952, we should require that the deprecated push rules be ignored in supported room versions. This would mean that clients can avoid sending empty/useless objects on their events.

It's unclear if we'd want to support `m.mentions` as a mixin or regular content block though - either works. 

",per require deprecated push rule ignored supported room version would mean client avoid sending emptyuseless object event unclear want support mmentions mixin regular content block though either work,0.256,0.572,0.172,-0.4767,,,
https://api.github.com/repos/dokuwiki/dokuwiki/pulls/3567,2,2021-12-21T06:22:19Z,2021-12-21T11:18:04Z,17745,,2,11,5,1,0,0,1,"I guess $linefeed is not defined.

resolved, the function now has the linefeed as an argument and it defaults to ''

",guess linefeed defined resolved function linefeed argument default,0.245,0.588,0.167,-0.2023,,,
https://api.github.com/repos/honeytrap/honeytrap/pulls/247,5,2018-03-13T01:55:41Z,2019-06-09T16:53:34Z,39193073,,1,21,4,2,0,0,1,"Could we change this to `defer os.RemoveAll` here?

Beter to fail here instead of using exit codes

```		
t.Fatalf(""Initializing posix failed with %s."", err)
```


we should test for the right exit code, eg 

```
if (code := m.Run(); code != 0) {
m.Fail(""xxx with code xxx"", code)
}
```

can be removed.

see same comments as ftp.

",could change defer osremoveall beter fail instead using exit code tfatalf initializing posix failed err test right exit code eg code mrun code mfail xxx code xxx code removed see comment ftp,0.237,0.763,0,-0.8402,,,
https://api.github.com/repos/gitpod-io/retired-gatsby-website/pulls/811,2,2020-10-18T19:32:20Z,2021-02-17T04:10:08Z,10485468,,2,39,1,2,0,0,1,"**problem:** the pull-request targets the wrong repository.

The Gitpod documentation (for now, maybe not in the future) layers `master` of https://github.com/gitpod-io/gitpod/tree/master/docs/self-hosted as a submodule into this repository. If @meysholdt gives the :thumbsup: in review then these changes need to be sent there as well as here.

",problem pullrequest target wrong repository gitpod documentation maybe future layer master submodule repository give thumbsup review change need sent well,0.233,0.683,0.084,-0.5719,,,
https://api.github.com/repos/brianc/node-postgres/pulls/2900,2,2023-01-19T15:21:20Z,2023-01-23T11:07:25Z,330365,,1,3,1,1,0,0,1,"```suggestion
        throw new Error('Literal contains \\0, which is not allowed in PostgreSQL strings')
```

```suggestion
    if (str.includes('\0'))  {
```

```suggestion
      throw new Error('Identifier contains \\0, which is not allowed in PostgreSQL identifiers')
```

",suggestion throw new error literal contains allowed postgresql string suggestion strincludes suggestion throw new error identifier contains allowed postgresql identifier,0.231,0.769,0,-0.6597,,,
https://api.github.com/repos/robiningelbrecht/drush-gdpr-dumper/pulls/3,1,2019-01-10T14:51:46Z,2019-01-21T11:16:39Z,937493,,8,395,89,14,0,0,1,"```suggestion
    // @TODO Combine with above dispatched event to allow changing empty tables?
    if (!empty($config['empty_tables'])) {
      $empty_tables = array_keys(array_filter($config['empty_tables']));
      $options['structure-tables-list'] = $empty_tables;
    }

```

I could be very wrong - as this is totally untested! - but I suspect this might be do the trick to implementing empty tables, as asked in https://github.com/robiningelbrecht/drush-gdpr-dumper/issues/1#issuecomment-453200382 ?

As mentioned in the `@TODO` comment though, it should probably be 'alterable' - maybe the `GdprReplacementsEvent` could expanded to cover more than just replacements, so that both settings could be extended by modules looking to add their own tables?

",suggestion combine dispatched event allow changing empty table empty config emptytables emptytables arraykeys arrayfilter config emptytables option structuretableslist emptytables could wrong totally untested suspect might trick implementing empty table asked mentioned comment though probably alterable maybe could expanded cover replacement setting could extended module looking add table,0.225,0.74,0.035,-0.8062,,,
